questao_no_grafico,questao_original_csv
1,45
2,87
3,84
4,62
5,14
6,35
7,46
8,17
9,43
10,20
11,47
12,36
13,80
14,34
15,3
16,33
17,27
18,65
19,1
20,61
21,5
22,40
23,15
24,25
25,50
26,2
27,24
28,28
29,30
30,22
